# All 242 Metro station names as they will be displayed.
# Source name on the left, what a passenger sees on the right.
# Wrong ones: fix ACCENTS in src/pulso_metro/names.py.

ABRANTES                         Abrantes
ACACIAS                          Acacias
AEROPUERTO T-4                   Aeropuerto T-4
AEROPUERTO T1-T2-T3              Aeropuerto T1-T2-T3
ALAMEDA DE OSUNA                 Alameda de Osuna
ALCORCON CENTRAL                 Alcorcón Central
ALFONSO XIII                     Alfonso XIII
ALMENDRALES                      Almendrales
ALONSO CANO                      Alonso Cano
ALONSO DE MENDOZA                Alonso de Mendoza
ALONSO MARTINEZ                  Alonso Martínez
ALSACIA                          Alsacia
ALTO DE EXTREMADURA              Alto de Extremadura
ALTO DEL ARENAL                  Alto del Arenal
ALUCHE                           Aluche
ALVARADO                         Alvarado
ANTON MARTIN                     Antón Martín
ANTONIO MACHADO                  Antonio Machado
ARGANDA DEL REY                  Arganda del Rey
ARGANZUELA-PLANETARIO            Arganzuela-Planetario
ARGÜELLES                        Argüelles
ARROYO CULEBRO                   Arroyo Culebro
ARROYOFRESNO                     Arroyofresno
ARTILLEROS                       Artilleros
ARTURO SORIA                     Arturo Soria
ASCAO                            Ascao
ATOCHA                           Atocha
AVENIDA DE AMERICA               Avenida de América
AVENIDA DE GUADALAJARA           Avenida de Guadalajara
AVENIDA DE LA ILUSTRACION        Avenida de la Ilustración
AVENIDA DE LA PAZ                Avenida de la Paz
AVIACION ESPAÑOLA                Aviación Española
BAMBU                            Bambú
BANCO DE ESPAÑA                  Banco de España
BARAJAS                          Barajas
BARRIO DE LA CONCEPCION          Barrio de la Concepción
BARRIO DEL PILAR                 Barrio del Pilar
BARRIO DEL PUERTO                Barrio del Puerto
BATAN                            Batán
BAUNATAL                         Baunatal
BEGOÑA                           Begoña
BILBAO                           Bilbao
BUENOS AIRES                     Buenos Aires
CALLAO                           Callao
CAMPAMENTO                       Campamento
CANAL                            Canal
CANILLAS                         Canillas
CANILLEJAS                       Canillejas
CARABANCHEL                      Carabanchel
CARABANCHEL ALTO                 Carabanchel Alto
CARPETANA                        Carpetana
CARTAGENA                        Cartagena
CASA DE CAMPO                    Casa de Campo
CASA DEL RELOJ                   Casa del Reloj
CHAMARTIN                        Chamartín
CHUECA                           Chueca
CIUDAD DE LOS ANGELES            Ciudad de los Ángeles
CIUDAD LINEAL                    Ciudad Lineal
CIUDAD UNIVERSITARIA             Ciudad Universitaria
COLOMBIA                         Colombia
COLON                            Colón
COLONIA JARDIN                   Colonia Jardín
CONCHA ESPINA                    Concha Espina
CONDE DE CASAL                   Conde de Casal
CONGOSTO                         Congosto
CONSERVATORIO                    Conservatorio
COSLADA CENTRAL                  Coslada Central
CRUZ DEL RAYO                    Cruz del Rayo
CUATRO CAMINOS                   Cuatro Caminos
CUATRO VIENTOS                   Cuatro Vientos
CUZCO                            Cuzco
DELICIAS                         Delicias
DIEGO DE LEON                    Diego de León
DUQUE DE PASTRANA                Duque de Pastrana
EL BERCIAL                       El Bercial
EL CAPRICHO                      El Capricho
EL CARMEN                        El Carmen
EL CARRASCAL                     El Carrascal
EL CASAR                         El Casar
EMBAJADORES                      Embajadores
EMPALME                          Empalme
ESPERANZA                        Esperanza
ESTACION DEL ARTE                Estación del Arte
ESTADIO METROPOLITANO            Estadio Metropolitano
ESTRECHO                         Estrecho
ESTRELLA                         Estrella
EUGENIA DE MONTIJO               Eugenia de Montijo
FERIA DE MADRID                  Feria de Madrid
FRANCOS RODRIGUEZ                Francos Rodríguez
FUENCARRAL                       Fuencarral
FUENLABRADA CENTRAL              Fuenlabrada Central
GARCIA NOBLEJAS                  García Noblejas
GETAFE CENTRAL                   Getafe Central
GOYA                             Goya
GRAN VIA                         Gran Vía
GREGORIO MARAÑON                 Gregorio Marañón
GUZMAN EL BUENO                  Guzmán el Bueno
HENARES                          Henares
HERRERA ORIA                     Herrera Oria
HORTALEZA                        Hortaleza
